Timestamp,SFPS,FT,CFPS,1519dd99-531c-44a4-9362-50e440ae5ea1,2274982f-1385-4cba-8c51-99bda666ca2a,fafdf70c-1ace-4438-a21b-97829f6580d4
2014.05.11-19.28.30,55,29.66667,0,0,0
2014.05.11-19.28.31,54,28.33333,0,0,0
2014.05.11-19.28.32,54,28.33333,0,0,0
2014.05.11-19.28.33,54,28.33333,0,0,0
2014.05.11-19.28.34,55,30,0,0,0
2014.05.11-19.28.35,55,30,0,0,0
2014.05.11-19.28.36,55,30,0,0,0
2014.05.11-19.28.37,55,29.66667,0,0,0
2014.05.11-19.28.38,55,29.66667,0,0,0
2014.05.11-19.28.39,55,29.66667,0,0,0
2014.05.11-19.28.40,54,30.66667,0,0,0
2014.05.11-19.28.41,54,30.66667,0,0,0
2014.05.11-19.28.42,54,30.66667,0,0,0
2014.05.11-19.28.43,55,34.33333,0,0,0
2014.05.11-19.28.44,55,34.33333,0,0,0
2014.05.11-19.28.45,55,34.33333,118,32,58
2014.05.11-19.28.46,55,31.66667,83,64,99
2014.05.11-19.28.47,55,31.66667,138,68,206
2014.05.11-19.28.48,55,31.66667,128,77,197
2014.05.11-19.28.49,54,32.33333,136,73,200
2014.05.11-19.28.50,54,32.33333,0,0,0
2014.05.11-19.28.51,54,32.33333,103,65,148
2014.05.11-19.28.52,55,33,117,71,101
2014.05.11-19.28.53,55,33,120,76,117
2014.05.11-19.28.54,55,33,125,75,172
2014.05.11-19.28.55,55,31.66667,119,73,197
2014.05.11-19.28.56,55,31.66667,121,72,208
2014.05.11-19.28.57,55,31.66667,122,68,196
2014.05.11-19.28.58,54,89,121,74,185
2014.05.11-19.28.59,54,89,126,73,168
2014.05.11-19.29.00,54,89,118,70,183
2014.05.11-19.29.01,54,44,122,74,200
2014.05.11-19.29.02,54,44,121,75,186
2014.05.11-19.29.03,54,44,112,76,186
2014.05.11-19.29.04,55,30,127,74,196
2014.05.11-19.29.05,55,30,117,75,186
2014.05.11-19.29.06,55,30,133,76,186
2014.05.11-19.29.07,54,30,133,80,196
2014.05.11-19.29.08,54,30,118,73,148
2014.05.11-19.29.09,54,30,127,69,184
2014.05.11-19.29.10,55,44.66667,128,73,199
2014.05.11-19.29.11,55,44.66667,121,79,181
2014.05.11-19.29.12,55,44.66667,125,77,173
2014.05.11-19.29.13,55,32,127,77,180
2014.05.11-19.29.14,55,32,127,71,185
2014.05.11-19.29.15,55,32,120,71,182
2014.05.11-19.29.16,54,51,120,66,144
2014.05.11-19.29.17,54,51,142,80,120
2014.05.11-19.29.18,54,51,139,80,139
2014.05.11-19.29.19,55,24.66667,137,79,182
2014.05.11-19.29.20,55,24.66667,137,74,179
2014.05.11-19.29.21,55,24.66667,117,84,186
2014.05.11-19.29.22,55,31,124,86,186
2014.05.11-19.29.23,55,31,0,0,0
2014.05.11-19.29.24,55,31,118,79,186
2014.05.11-19.29.25,49,140.6667,133,89,163
2014.05.11-19.29.26,49,140.6667,138,80,182
2014.05.11-19.29.27,49,140.6667,126,78,188
2014.05.11-19.29.28,55,26.33333,131,85,181
2014.05.11-19.29.29,55,26.33333,0,0,0
2014.05.11-19.29.30,55,26.33333,131,77,195
2014.05.11-19.29.31,55,40.66667,129,78,197
2014.05.11-19.29.32,55,40.66667,110,77,208
2014.05.11-19.29.33,55,40.66667,93,70,220
2014.05.11-19.29.34,54,32.66667,109,73,188
2014.05.11-19.29.35,54,32.66667,104,68,202
2014.05.11-19.29.36,54,32.66667,114,72,185
2014.05.11-19.29.37,55,44.66667,110,68,193
2014.05.11-19.29.38,55,44.66667,103,77,183
2014.05.11-19.29.39,55,44.66667,107,70,179
2014.05.11-19.29.40,55,24,106,71,190
2014.05.11-19.29.41,55,24,112,68,184
2014.05.11-19.29.42,55,24,102,72,178
2014.05.11-19.29.43,54,33.66667,90,63,217
2014.05.11-19.29.44,54,33.66667,97,69,209
2014.05.11-19.29.45,54,33.66667,92,67,207
2014.05.11-19.29.46,55,25.33333,85,57,190
2014.05.11-19.29.47,55,25.33333,78,48,179
2014.05.11-19.29.48,55,25.33333,60,53,202
2014.05.11-19.29.49,55,40.33333,81,56,194
2014.05.11-19.29.50,55,40.33333,68,56,207
2014.05.11-19.29.51,55,40.33333,63,56,157
2014.05.11-19.29.52,54,97.33334,66,42,98
2014.05.11-19.29.53,54,97.33334,87,39,38
2014.05.11-19.29.54,54,97.33334,129,35,45
2014.05.11-19.29.55,55,103.3333,151,37,53
2014.05.11-19.29.56,55,103.3333,129,37,48
2014.05.11-19.29.57,55,103.3333,52,45,114
2014.05.11-19.29.58,55,108,43,35,107
2014.05.11-19.29.59,55,108,41,34,74
2014.05.11-19.30.00,55,108,43,34,75
