Timestamp,Second,Sample#,CFPS,Polygons,Ping
2014.06.03-13.46.01,63537399961005.8,111,-,-,-
2014.06.03-13.46.02,63537399962025.8,112,-,-,-
2014.06.03-13.46.03,63537399963015.9,113,-,-,-
2014.06.03-13.46.04,63537399964006,114,-,-,-
2014.06.03-13.46.05,63537399965026,115,-,-,-
2014.06.03-13.46.06,63537399966016.1,116,-,-,-
2014.06.03-13.46.07,63537399967006.1,117,-,-,-
2014.06.03-13.46.08,63537399968026.2,118,-,-,-
2014.06.03-13.46.09,63537399969016.3,119,-,-,-
2014.06.03-13.46.10,63537399970007.3,120,-,-,-
2014.06.03-13.46.11,63537399971027.4,121,-,-,-
2014.06.03-13.46.12,63537399972017.4,122,-,-,-
2014.06.03-13.46.13,63537399973007.5,123,-,-,-
2014.06.03-13.46.14,63537399974027.5,124,-,-,-
2014.06.03-13.46.15,63537399975017.6,125,-,-,-
2014.06.03-13.46.16,63537399976007.6,126,-,-,-
2014.06.03-13.46.17,63537399977027.7,127,-,-,-
2014.06.03-13.46.18,63537399978018.8,128,-,-,-
2014.06.03-13.46.19,63537399979008.8,129,-,-,-
2014.06.03-13.46.20,63537399980028.9,130,-,-,-
2014.06.03-13.46.21,63537399981022.9,131,-,-,-
2014.06.03-13.46.22,63537399982013,132,-,-,-
2014.06.03-13.46.23,63537399983003,133,-,-,-
2014.06.03-13.46.24,63537399984023.1,134,-,-,-
2014.06.03-13.46.25,63537399985013.2,135,-,-,-
2014.06.03-13.46.26,63537399986003.2,136,-,-,-
2014.06.03-13.46.27,63537399987023.3,137,-,-,-
2014.06.03-13.46.28,63537399988013.3,138,-,-,-
2014.06.03-13.46.29,63537399989003.4,139,-,-,-
2014.06.03-13.46.30,63537399990023.5,140,-,-,-
2014.06.03-13.46.31,63537399991013.5,141,-,-,-
2014.06.03-13.46.32,63537399992003.6,142,-,-,-
2014.06.03-13.46.33,63537399993023.6,143,-,-,-
2014.06.03-13.46.34,63537399994013.7,144,-,-,-
2014.06.03-13.46.35,63537399995003.7,145,-,-,-
